,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,OutdoorFurniture,Furniture,ParkingSpots,NetArea,EnergyClass,TotalRooms,TotalFloors,HouseMaterial,HouseType,LandArea,Region,District,Neighborhood
1255,117700,0,missing,1972,missing,missing,0,0,missing,Vrt/dvorišče,missing,3,missing,missing,5,Dvonadstropna,missing,Samostojna,0,Obalno-kraška, Sežana, Griže
1256,270000,0,missing,1990,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,missing,E (105 - 150 kWh/m²a),3,missing,missing,Samostojna,0,Osrednjeslovenska, Ivančna Gorica, Višnja Gora
1257,12750,65,missing,1990,missing,missing,0,0,missing,missing,Nedokončana gradnja,0,"95,00 m²",Ni možno izdati,4,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,Savinjska, Slovenske Konjice, Klokočovnik
1258,199000,256,missing,2005,missing,missing,0,2017,"Balkon, Terasa, Loža","Vrt/dvorišče, Lopa za shranjevanje",missing,0,"300,00 m²",missing,6,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,700,Podravska, Hajdina, Slovenja vas
1259,38000,30,missing,1990,missing,missing,0,0,Balkon,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),1,missing,missing,Samostojna,0,Savinjska, Šentjur, Dramlje
1261,360000,280,missing,2000,missing,missing,0,2010,"Balkon, Terasa",missing,Popolnoma opremljeno,0,"400,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",missing,0,Savinjska, Šentjur, Proseniško
1262,334000,130,missing,1939,missing,missing,0,0,missing,missing,missing,0,missing,missing,6,missing,missing,Samostojna,0,Osrednjeslovenska, Medvode, Medvode
1263,280000,168,missing,1963,missing,missing,0,2005,missing,missing,missing,0,"168,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Dvojček,462,Savinjska, Celje, Celje
1264,320000,114,missing,1998,missing,missing,0,0,missing,missing,missing,0,"140,00 m²",EI v izdelavi,4,missing,missing,Dvojček,376,Osrednjeslovenska, Dol pri Ljubljani, Dolsko
1265,189900,0,missing,2020,missing,missing,0,0,"Balkon, Atrij",missing,missing,2,"138,00 m²",missing,0,missing,missing,Dvojček,398,Podravska, Kungota, Zgornja Kungota
